DATE,MEHOINUSVAA672N
1984-01-01,61229
1985-01-01,63446
1986-01-01,65176
1987-01-01,63604
1988-01-01,66814
1989-01-01,66897
1990-01-01,65538
1991-01-01,65156
1992-01-01,67201
1993-01-01,62519
1994-01-01,63281
1995-01-01,59454
1996-01-01,62690
1997-01-01,67226
1998-01-01,66941
1999-01-01,69081
2000-01-01,68964
2001-01-01,71431
2002-01-01,69468
2003-01-01,74977
2004-01-01,68151
2005-01-01,66915
2006-01-01,71312
2007-01-01,71824
2008-01-01,72469
2009-01-01,70981
2010-01-01,69675
2011-01-01,70062
2012-01-01,70818
2013-01-01,71160
2014-01-01,70239
2015-01-01,65169
2016-01-01,69535
2017-01-01,72537
2018-01-01,77151
