DATE,VANQGSP
2005-01-01,350888.0
2005-04-01,357425.8
2005-07-01,365044.7
2005-10-01,367840.9
2006-01-01,375715.4
2006-04-01,377992.6
2006-07-01,380394.1
2006-10-01,382415.6
2007-01-01,388225.4
2007-04-01,390998.9
2007-07-01,395829.0
2007-10-01,396615.9
2008-01-01,393771.0
2008-04-01,397631.5
2008-07-01,402120.8
2008-10-01,402605.3
2009-01-01,402871.4
2009-04-01,407420.1
2009-07-01,410035.0
2009-10-01,415348.4
2010-01-01,415585.4
2010-04-01,422473.5
2010-07-01,425500.8
2010-10-01,428048.3
2011-01-01,426074.0
2011-04-01,430262.1
2011-07-01,434107.2
2011-10-01,439127.5
2012-01-01,440440.2
2012-04-01,443978.1
2012-07-01,447634.0
2012-10-01,447747.9
2013-01-01,454448.7
2013-04-01,452840.4
2013-07-01,454657.4
2013-10-01,458333.6
2014-01-01,456083.5
2014-04-01,461736.9
2014-07-01,466509.1
2014-10-01,470797.5
2015-01-01,475358.7
2015-04-01,484437.2
2015-07-01,489266.0
2015-10-01,489450.7
2016-01-01,485423.6
2016-04-01,491723.6
2016-07-01,495723.0
2016-10-01,502591.9
2017-01-01,503144.0
2017-04-01,507407.5
2017-07-01,513368.5
2017-10-01,517779.6
2018-01-01,523383.8
2018-04-01,530922.2
2018-07-01,539141.3
2018-10-01,544348.0
2019-01-01,549996.5
