DATE,VAOTOT
1948-01-01,3720.5
1948-04-01,3835.1
1948-07-01,3942.1
1948-10-01,3918.7
1949-01-01,3899.2
1949-04-01,3900.5
1949-07-01,3895.2
1949-10-01,3906.9
1950-01-01,4196.1
1950-04-01,4261.2
1950-07-01,4459.0
1950-10-01,4679.9
1951-01-01,4939.2
1951-04-01,5142.7
1951-07-01,5283.8
1951-10-01,5405.0
1952-01-01,5499.4
1952-04-01,5608.4
1952-07-01,5710.6
1952-10-01,5812.4
1953-01-01,5840.1
1953-04-01,5877.1
1953-07-01,5859.1
1953-10-01,5857.5
1954-01-01,5897.1
1954-04-01,5922.1
1954-07-01,5969.4
1954-10-01,6051.4
1955-01-01,6126.7
1955-04-01,6237.8
1955-07-01,6354.9
1955-10-01,6453.5
1956-01-01,6637.2
1956-04-01,6767.2
1956-07-01,6860.9
1956-10-01,6971.7
1957-01-01,7105.1
1957-04-01,7160.7
1957-07-01,7219.3
1957-10-01,7232.3
1958-01-01,7284.0
1958-04-01,7311.9
1958-07-01,7416.5
1958-10-01,7652.9
1959-01-01,7778.1
1959-04-01,7882.6
1959-07-01,7972.6
1959-10-01,8068.3
1960-01-01,8033.7
1960-04-01,8176.7
1960-07-01,8235.8
1960-10-01,8246.5
1961-01-01,8460.6
1961-04-01,8611.5
1961-07-01,8800.2
1961-10-01,8949.9
1962-01-01,9130.9
1962-04-01,9332.0
1962-07-01,9463.4
1962-10-01,9656.5
1963-01-01,9787.3
1963-04-01,9974.7
1963-07-01,10204.8
1963-10-01,10459.6
1964-01-01,10745.8
1964-04-01,11013.7
1964-07-01,11324.8
1964-10-01,11519.9
1965-01-01,11743.8
1965-04-01,11866.9
1965-07-01,12184.3
1965-10-01,12355.0
1966-01-01,12633.1
1966-04-01,12867.4
1966-07-01,13112.9
1966-10-01,13493.5
1967-01-01,13851.2
1967-04-01,14067.1
1967-07-01,14331.6
1967-10-01,14754.8
1968-01-01,15150.3
1968-04-01,15605.7
1968-07-01,15966.4
1968-10-01,16350.5
1969-01-01,17250.5
1969-04-01,17689.1
1969-07-01,18132.3
1969-10-01,18318.8
1970-01-01,18457.2
1970-04-01,19311.6
1970-07-01,19619.2
1970-10-01,20098.6
1971-01-01,20492.8
1971-04-01,21244.1
1971-07-01,21709.7
1971-10-01,22197.2
1972-01-01,22934.3
1972-04-01,23320.8
1972-07-01,23850.0
1972-10-01,24951.5
1973-01-01,25610.4
1973-04-01,26242.3
1973-07-01,26931.4
1973-10-01,27666.8
1974-01-01,28325.5
1974-04-01,29109.6
1974-07-01,29877.2
