DATE,VASTHPI
1975-01-01,70.31
1975-04-01,66.59
1975-07-01,67.51
1975-10-01,67.72
1976-01-01,69.32
1976-04-01,68.67
1976-07-01,70.48
1976-10-01,72.04
1977-01-01,73.12
1977-04-01,74.98
1977-07-01,77.53
1977-10-01,79.14
1978-01-01,80.42
1978-04-01,83.69
1978-07-01,86.24
1978-10-01,89.47
1979-01-01,89.61
1979-04-01,91.78
1979-07-01,94.77
1979-10-01,95.75
1980-01-01,100.00
1980-04-01,101.11
1980-07-01,104.47
1980-10-01,104.16
1981-01-01,106.26
1981-04-01,105.35
1981-07-01,106.24
1981-10-01,109.39
1982-01-01,107.93
1982-04-01,107.98
1982-07-01,104.28
1982-10-01,113.32
1983-01-01,115.45
1983-04-01,118.3
1983-07-01,118.58
1983-10-01,118.69
1984-01-01,121.46
1984-04-01,123.28
1984-07-01,125.13
1984-10-01,124.69
1985-01-01,127.58
1985-04-01,129.76
1985-07-01,131.6
1985-10-01,132.39
1986-01-01,134.69
1986-04-01,137.15
1986-07-01,140.14
1986-10-01,142.5
1987-01-01,145.61
1987-04-01,149.55
1987-07-01,156.69
1987-10-01,160.3
1988-01-01,164.93
1988-04-01,170.53
1988-07-01,174.46
1988-10-01,177.94
1989-01-01,181.24
1989-04-01,185.11
1989-07-01,187.64
1989-10-01,189.11
1990-01-01,189.04
1990-04-01,189.35
1990-07-01,188.69
1990-10-01,186.62
1991-01-01,187.84
1991-04-01,188.5
1991-07-01,187.03
1991-10-01,190.5
1992-01-01,191.71
1992-04-01,189.95
1992-07-01,192.43
1992-10-01,193
1993-01-01,192.52
1993-04-01,193.66
1993-07-01,194.05
1993-10-01,195.11
1994-01-01,195.56
1994-04-01,195.26
1994-07-01,195.03
1994-10-01,194.84
1995-01-01,194.23
1995-04-01,196.91
1995-07-01,199.21
1995-10-01,200
1996-01-01,202.27
1996-04-01,201.83
1996-07-01,200.86
1996-10-01,202.59
1997-01-01,203.88
1997-04-01,204.44
1997-07-01,206.65
1997-10-01,208.72
1998-01-01,210.56
1998-04-01,211.48
1998-07-01,212.97
1998-10-01,215
1999-01-01,217.08
1999-04-01,219.69
1999-07-01,223.4
1999-10-01,226.38
2000-01-01,230.2
2000-04-01,234.89
2000-07-01,239
2000-10-01,243.12
2001-01-01,249.13
2001-04-01,254.91
2001-07-01,260.58
2001-10-01,264.2
2002-01-01,269.45
2002-04-01,277.02
2002-07-01,284.03
2002-10-01,287.94
2003-01-01,292.3
2003-04-01,297.06
2003-07-01,304.14
2003-10-01,316.53
2004-01-01,324.51
2004-04-01,336.98
2004-07-01,358.48
2004-10-01,370.85
2005-01-01,385.62
2005-04-01,407.62
2005-07-01,426.92
2005-10-01,438.88
2006-01-01,448.94
2006-04-01,457.27
2006-07-01,460.15
2006-10-01,466.5
2007-01-01,468.48
2007-04-01,469.54
2007-07-01,463.81
2007-10-01,462.52
2008-01-01,460.06
2008-04-01,447.15
2008-07-01,434.88
2008-10-01,431.26
2009-01-01,433.06
2009-04-01,422.11
2009-07-01,412.51
2009-10-01,409.44
2010-01-01,403.84
2010-04-01,401.32
2010-07-01,405.41
2010-10-01,403.08
2011-01-01,393.68
2011-04-01,389.14
2011-07-01,392.32
2011-10-01,394.97
2012-01-01,390.73
2012-04-01,388.1
2012-07-01,392.94
2012-10-01,394.61
2013-01-01,394.14
2013-04-01,398.34
2013-07-01,398.99
2013-10-01,399.09
2014-01-01,400.92
2014-04-01,407.52
2014-07-01,410.07
2014-10-01,413.6
2015-01-01,415.38
2015-04-01,418.81
2015-07-01,421.04
2015-10-01,423.92
2016-01-01,422.55
2016-04-01,430.84
2016-07-01,434.27
2016-10-01,437.07
2017-01-01,435.73
2017-04-01,447.39
2017-07-01,449.87
2017-10-01,452.33
2018-01-01,457.7
2018-04-01,465.14
2018-07-01,468.69
2018-10-01,470.27
2019-01-01,474.81
2019-04-01,486.59
