month,Mkt-RF,SMB,HML,RF
199402,-0.57,-0.95,-3.47,0.87
199403,-14.04,10.42,5.22,0.87
199404,-16.88,6.59,4.20,0.87
199405,-5.00,0.13,-1.68,0.87
199406,-15.76,-1.19,1.42,0.87
199407,-24.53,-7.18,11.91,0.87
199408,112.64,33.36,-37.74,0.87
199409,5.08,17.11,15.70,0.87
199410,-20.94,3.78,-0.27,0.87
199411,2.86,2.06,-2.66,0.87
199412,-6.56,0.66,-0.24,0.87
199501,-13.18,-3.03,1.41,0.87
199502,-2.56,0.01,2.79,0.87
199503,12.19,3.23,-6.22,0.87
199504,-11.71,1.69,0.67,0.87
199505,15.13,9.61,-11.75,0.87
199506,-9.01,-2.54,2.75,0.87
199507,5.97,0.45,6.79,0.87
199508,4.87,-2.62,16.59,0.87
199509,-1.01,-1.05,8.24,0.87
199510,0.57,0.34,6.33,0.87
199511,-8.70,1.19,-7.49,0.87
199512,-11.90,-0.79,1.57,0.87
199601,-4.48,0.49,8.63,0.87
199602,2.08,-1.06,-2.98,0.87
199603,-0.68,0.38,0.36,0.87
199604,30.62,11.45,8.17,0.87
199605,-4.10,-9.30,6.45,0.73
199606,20.83,-15.28,8.41,0.73
199607,18.53,4.23,28.95,0.73
199608,0.30,-8.35,3.08,0.60
199609,4.47,-0.64,3.72,0.60
199610,27.59,15.14,33.73,0.60
199611,8.81,4.84,6.23,0.60
199612,-21.20,-9.04,-12.04,0.60
199701,9.29,4.37,6.61,0.60
199702,6.67,3.48,-2.90,0.60
199703,19.23,2.71,-4.34,0.60
199704,11.03,-7.02,-4.51,0.60
199705,-8.65,-4.82,4.54,0.60
199706,1.01,-2.31,1.07,0.60
199707,-9.00,5.41,1.82,0.60
199708,-0.31,1.89,9.11,0.60
199709,-13.43,4.02,-3.43,0.60
199710,12.15,-4.63,-3.87,0.46
199711,-5.49,3.99,-1.75,0.46
199712,4.19,4.69,-5.14,0.46
199801,2.57,3.79,-0.64,0.46
199802,-2.06,2.13,4.77,0.46
199803,2.65,5.57,0.76,0.42
199804,8.48,7.44,0.75,0.42
199805,6.35,7.95,3.43,0.42
199806,-7.80,1.67,-2.92,0.42
199807,-1.30,2.07,1.84,0.39
199808,-12.94,3.43,-0.81,0.39
199809,7.38,9.06,0.37,0.39
199810,-1.37,5.12,-4.34,0.39
199811,1.28,-1.48,-2.64,0.39
199812,-9.16,-2.42,-0.26,0.31
199901,-0.74,2.24,1.38,0.31
199902,-4.50,1.10,-0.34,0.31
199903,6.55,7.03,6.23,0.31
199904,-4.09,-0.74,3.26,0.31
199905,10.32,-2.17,-6.45,0.31
199906,36.25,-10.37,-1.87,0.19
199907,-6.78,2.61,-0.09,0.19
199908,0.63,6.81,4.36,0.19
199909,-3.12,0.64,-1.75,0.19
199910,-5.30,2.90,-0.60,0.19
199911,-4.47,3.23,0.25,0.19
199912,-4.83,-1.43,-5.43,0.19
200001,17.00,-3.28,-10.83,0.19
200002,12.59,3.05,-0.31,0.19
200003,5.17,11.01,3.06,0.19
200004,1.11,-0.94,0.52,0.19
200005,2.51,1.66,2.55,0.19
200006,2.23,-2.44,2.47,0.19
200007,4.31,3.74,2.46,0.19
200008,-0.70,4.78,-0.67,0.19
200009,-4.97,2.71,-4.14,0.19
200010,2.01,3.68,3.22,0.19
200011,5.44,0.99,0.84,0.19
200012,-0.54,0.73,0.65,0.19
200101,-1.11,-0.82,3.91,0.19
200102,-6.14,-1.29,3.01,0.19
200103,7.34,3.59,0.99,0.19
200104,-0.89,3.15,-3.63,0.19
200105,3.07,6.44,-0.64,0.19
200106,-0.17,0.94,2.08,0.19
200107,-13.29,-0.50,-1.09,0.19
200108,-3.61,1.55,-0.49,0.19
200109,-5.77,-3.24,0.53,0.19
200110,-5.20,-1.30,2.49,0.19
200111,3.82,2.33,0.49,0.19
200112,-6.44,-1.90,0.91,0.19
200201,-10.96,-3.50,-0.48,0.19
200202,2.74,1.43,0.00,0.16
200203,6.53,2.45,-0.54,0.16
200204,3.94,3.33,2.89,0.16
200205,-8.51,0.02,-1.79,0.16
200206,12.44,-3.43,4.88,0.16
200207,-4.25,0.83,-1.12,0.16
200208,0.36,0.71,-0.10,0.16
200209,-5.70,-0.70,-0.92,0.16
200210,-5.14,-1.37,-0.21,0.16
200211,-6.51,-3.22,-0.59,0.16
200212,-4.86,0.14,-2.08,0.16
200301,8.93,2.04,1.80,0.16
200302,1.02,0.92,0.11,0.16
200303,-1.77,-1.73,1.68,0.16
200304,-1.90,-3.59,4.56,0.16
200305,4.55,-1.50,0.16,0.16
200306,-6.72,-0.66,-0.93,0.16
200307,-1.21,-4.37,-0.08,0.16
200308,-3.23,1.08,-1.72,0.16
200309,-4.36,-0.95,0.27,0.16
200310,-4.09,-5.53,3.74,0.16
200311,2.21,-1.15,2.81,0.16
200312,1.99,-5.42,4.34,0.16
200401,7.37,1.46,-0.12,0.16
200402,7.33,2.77,-0.77,0.16
200403,3.50,1.85,1.67,0.16
200404,-10.40,0.76,1.60,0.16
200405,-2.42,1.87,0.87,0.16
200406,-11.80,-1.96,0.24,0.16
200407,-0.25,-4.56,0.05,0.16
200408,-4.62,-0.24,2.32,0.16
200409,5.55,-2.54,-0.66,0.16
200410,-5.55,-3.59,-1.19,0.19
200411,2.26,4.01,-0.67,0.19
200412,-7.07,-2.25,0.59,0.19
200501,-5.96,-1.31,-0.53,0.19
200502,9.35,1.40,0.68,0.19
200503,-10.73,-2.75,-0.08,0.19
200504,-3.83,-4.29,2.37,0.19
200505,-7.15,3.76,-1.19,0.19
200506,0.75,-1.99,-0.41,0.19
200507,-2.19,-8.30,-0.52,0.19
200508,8.84,11.22,-1.66,0.19
200509,0.50,2.19,-2.06,0.19
200510,-5.55,-1.38,-1.33,0.19
200511,-0.58,3.66,1.28,0.19
200512,5.02,-5.71,1.24,0.19
200601,9.41,-2.51,1.72,0.19
200602,2.80,0.15,1.50,0.19
200603,1.90,-2.40,-0.65,0.19
200604,11.17,-4.41,0.59,0.19
200605,20.99,8.23,2.97,0.19
200606,4.35,3.68,1.14,0.19
200607,-5.64,6.35,-0.30,0.19
200608,3.02,-0.46,-0.33,0.21
200609,3.96,3.01,-2.24,0.21
200610,1.24,-2.01,1.12,0.21
200611,10.87,-12.35,-0.59,0.21
200612,11.54,-10.20,1.01,0.21
200701,20.73,6.43,-1.81,0.21
200702,12.76,9.67,6.81,0.21
200703,12.47,12.54,2.10,0.23
200704,31.48,4.91,11.05,0.23
